"brand","source","id","name","article","stock","unit","category","strongCandidate"
"POLAX","AgentPlus","2AEA27A3-0A22-11EC-89EA-BC5FF4F4F2AA","Хомут черв'ячний W2 Нержавіюча сталь ""120-140"" ""POLAX "" 37-036 (10шт.)","036","20","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Кріпильний інструмент / Хомути черв'якові","no"
"POLAX","AgentPlus","DD07DF4A-6067-11EB-A602-BC5FF4F4F2AA","Шнур для будівельних робіт 100м Червоний ""POLAX"" 30-008","30-008","20","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Вимірювальний інструмент / Шнури для будівельних робіт","yes"
"POLAX","AgentPlus","DD07DF46-6067-11EB-A602-BC5FF4F4F2AA","Шнур для будівельних робіт 50м Зелений ""POLAX"" 30-006","30-006","20","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Вимірювальний інструмент / Шнури для будівельних робіт","yes"
"POLAX","AgentPlus","D559997E-795D-11EE-9EC9-BC5FF4F4F2AA","Біта одностороння, 25мм, H4, 1/4 (10шт.) ""POLAX"" 51-073","51-073","15","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Столярно-слюсарний інструмент / Викрутки, набори викруток / Біти та бітотримачі / Біти односторонні","yes"
"POLAX","AgentPlus","D49B4FBD-8473-11E5-86EF-BC5FF4F4F2AA","Клини 32мм ""POLAX"" 1000-046 (50шт)","046","15","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Інструмент для оздоблювальних робіт / Хрестики та клини для плитки","no"
"POLAX","AgentPlus","90373FD6-4562-11EE-9975-BC5FF4F4F2AA","Газовий пальник з активацією та вимиканням в один дотик ""POLAX"" 32-043","32-043","14","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Кріпильний інструмент / Газові пальники, плитки / Газові пальники","yes"
"POLAX","AgentPlus","617A0207-4148-11EC-8D80-BC5FF4F4F2AA","Двостороння спінена клейка стрічка Стандарт 15мм*5м ""POLAX"" 101-032 (1шт)","032","14","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Скотчі та спеціальні стрічки (0% знижка!) / Стрічка на спіненій основі","no"
"POLAX","AgentPlus","2942989A-9D71-11E3-822B-902B34A4365E","Клини 25мм ""POLAX"" 1000-045 (100шт)","100","13","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Інструмент для оздоблювальних робіт / Хрестики та клини для плитки","no"
"POLAX","AgentPlus","AC52BFE9-4144-11EC-8D80-BC5FF4F4F2AA","Двостороння спінена клейка стрічка Стандарт 19мм*5м ""POLAX"" 101-033 (1шт)","033","11","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Скотчі та спеціальні стрічки (0% знижка!) / Стрічка на спіненій основі","no"
"LEMANSO","AgentPlus","5FDCBF0B-0A0F-11E7-9A5A-BC5FF4F4F2AA","Лампа економка MR16 11W 2700K ""LEMANSO"" ESB926 - Розпродаж!","ESB926","643","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОТЕХНІЧНА ПРОДУКЦІЯ / Лампи / Лампа енергозберігаюча","yes"
"LEMANSO","AgentPlus","6FCB2E93-86B6-11E5-B379-BC5FF4F4F2AA","Лампа світлодіодна A60 10W E27 800LM 4000K 175-265V ""LEMANSO"" LM217","LM217","233","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED лампи / Лампи LED ( А60 - Груша ) / Лампи світлодіодні А60 - 4500К","yes"
"LEMANSO","AgentPlus","465D1FF0-594A-11EA-8B9C-BC5FF4F4F2AA","Лампа світлодіодна A60 10W E27 800LM 6500K 175-265V ""LEMANSO"" LM217","LM217","188","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED лампи / Лампи LED ( А60 - Груша ) / Лампи світлодіодні А60 - 6500К","yes"
"LEMANSO","AgentPlus","00D0572D-2C74-11E9-AF1A-BC5FF4F4F2AA","Світильник LED газон з вимк., 1LED білий IP44 6міс. метелик ""LEMANSO"" CAB124 - Розпродаж!","CAB124","118","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED світильники / Світильники LED садово-паркові та тротуарні / Світильники LED садові ( газон ) / Світильники LED садові ( газон ) декор","yes"
"LEMANSO","AgentPlus","34362478-A12B-11E8-836C-BC5FF4F4F2AA","Лампа світлодіодна A60 15W E27 1350LM 4000K 175-265V ""LEMANSO"" LM791","LM791","106","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED лампи / Лампи LED ( А60 - Груша ) / Лампи світлодіодні А60 - 4500К","yes"
"LEMANSO","AgentPlus","4FE7DB86-2C83-11E9-AF1A-BC5FF4F4F2AA","Світильник LED газон з вимк., 2LED білий IP44 6міс. курчата ""LEMANSO"" CAB136 - Розпродаж!","CAB136","93","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED світильники / Світильники LED садово-паркові та тротуарні / Світильники LED садові ( газон ) / Світильники LED садові ( газон ) декор","yes"
"LEMANSO","AgentPlus","F766F770-4D70-11EF-A71A-BC5FF4F4F2AA","Пензель тонкий укр 20мм LEMANSO 12524","LEMANSO12524","83","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / ІНСТРУМЕНТ / Пензли","yes"
"LEMANSO","AgentPlus","C96623EF-7FEC-11EF-9094-BC5FF4F4F2AA","Кріплення роз'ємів ""LEMANSO"" LMA2627","LMA2627","71","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / ЕЛЕКТРОІНСТАЛЯЦІЯ / Аксесуари / Кріплення роз'ємів","yes"
"LEMANSO","AgentPlus","294298DD-9D71-11E3-822B-902B34A4365E","Вилка кутова з/з біла ""LEMANSO"" LMA027","LMA027","70","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / ЕЛЕКТРОІНСТАЛЯЦІЯ / Вилки, патрони, перехідники, трійники / Вилки, гнізда електричні / Вилки","yes"
"LEMANSO","AgentPlus","D5A8F1E1-5E78-11ED-8A90-BC5FF4F4F2AA","Вилка кутова з/з чорна ""LEMANSO"" LMA027","LMA027","65","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / ЕЛЕКТРОІНСТАЛЯЦІЯ / Вилки, патрони, перехідники, трійники / Вилки, гнізда електричні / Вилки","yes"
"LEMANSO","AgentPlus","F53B6DEA-5665-11E7-AF12-BC5FF4F4F2AA","Лампа економка MR16 11W 4200K ""LEMANSO"" ESB926 - Розпродаж!","ESB926","65","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОТЕХНІЧНА ПРОДУКЦІЯ / Лампи / Лампа енергозберігаюча","yes"
"LEMANSO","AgentPlus","7D2B3270-00D9-11E8-BFD2-BC5FF4F4F2AA","Лампа світлодіодна A60 15W E27 1700LM 6500K 175-265V ""LEMANSO"" LM3038","LM3038","64","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED лампи / Лампи LED ( А60 - Груша ) / Лампи світлодіодні А60 - 6500К","yes"
"LEMANSO","AgentPlus","9381FB18-010B-11F1-9C6C-BC5FF4F4F2AA","Світильник світлодіодний 20W 6500K 2000LM IP20 0.6м ""Рояль"" ""LEMANSO"" LM983","LM983","58","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED світильники / Світильники LED заміна люмінесцентним / Світильники LED побутові IP20","yes"
"LEMANSO","AgentPlus","79091F4E-9198-11ED-AD9D-BC5FF4F4F2AA","Світлодіодний модуль №4 напр.12V мощ.0.72W 3*2835 90lm IP65 кут:140°""кратно 20 шт. ""LEMANSO""","IP65","55","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED модулі","yes"
"LEMANSO","AgentPlus","8CB3E4BC-7907-11E8-B71A-BC5FF4F4F2AA","Клей Глобус 2г Ціанокрілан твердий - Розпродаж!","","49","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / AКЦІЯ! - Розпродаж!","no"
"LEMANSO","AgentPlus","B46A1D7A-703C-11EB-91F5-BC5FF4F4F2AA","З'єднувач 1 затискач 2pin 8mm провід 15см + гніздо DC 5.5мм / 2,1мм ""LEMANSO"" LMA9410","LMA9410","46","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED лента / Аксесуари для стрічки / З'єднувачі","yes"
"LEMANSO","AgentPlus","E97B26A5-CA42-11E4-9DB7-BC5FF4F4F2AA","Лампа світлодіодна G45 1,2W E27 230V 6500К біла кулька ""LEMANSO"" LM705","LM705","46","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED лампи / Лампи LED ( G - Кулька ) / Лампи світлодіодні G45 кольорові","yes"
"LEMANSO","AgentPlus","95E366F3-F620-11E9-B7FC-BC5FF4F4F2AA","Лампа світлодіодна MR16 6W 600LM 5000K 175-265V матова ""LEMANSO"" LM3070","LM3070","41","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED лампи / Лампи LED ( Галогенні ) / Лампи світлодіодні MR16 / Лампи світлодіодні MR16 - 5000К","yes"
"LEMANSO","AgentPlus","D6FB6356-6F5E-11EB-AA5C-BC5FF4F4F2AA","Лампа світлодіодна MR16 6W 600LM 6500K 175-265V матова ""LEMANSO"" LM3070","LM3070","41","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / СВІТЛОДІОДНА ПРОДУКЦІЯ / LED лампи / Лампи LED ( Галогенні ) / Лампи світлодіодні MR16 / Лампи світлодіодні MR16 - 6500К","yes"
"LEMANSO","AgentPlus","789F0647-1C4F-11F1-BCFB-BC5FF4F4F2AA","Патрон E27 пластиковий прямий білий ""LEMANSO"" LM2535","LM2535","41","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / LEMANSO / ЕЛЕКТРОІНСТАЛЯЦІЯ / Вилки, патрони, перехідники, трійники / Патрони, патрони - перехідники / Патрони / Патрони пластик/метал","yes"
"E.NEXT","AgentPlus","4909741C-2D6D-11E9-AF12-BC5FF4F4F2AA","Труба гофрована ПВХ з протяжкою e.g.tube.stand.14.20.p 14/20 (100м) ""E.NEXT"" s028002","s028002","400","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для прокладання кабеля / Труби гофровані з протяжкою / Труба гофрована українського виробництва G.TUBE серії STAND","yes"
"E.NEXT","AgentPlus","7C7C1CDC-BFCD-11E8-8F11-BC5FF4F4F2AA","Гільза мідна луджена кабельна з'єднувальна e.tube.stand.gty.1.5 ""E.NEXT"" s041001","s041001","109","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Наконечники та гільзи кабельні / Кабельні гільзи / Кабельні гільзи сполучні під опресування GTY серії STAND","yes"
"E.NEXT","AgentPlus","3E57A96E-9D71-11E3-822B-902B34A4365E","Модульний автоматичний вимикач e.mcb.stand.45.1.C16, 1р, 16А, C, 4.5 кА ""E.NEXT"" s002008 (12шт.)","s002008","85","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Модульне обладнення / Модульні автоматичні вимикачі MCB / Модульні автоматичні вимикачі серії STANDARD / Модульні автоматичні вимикачі серії STAND C, 1-3р, 1-63А, 4,5 кА / Автоматичні вимикачі серії E.STAND клас ""С"" - 1 полюс","yes"
"E.NEXT","AgentPlus","7C7C1CDE-BFCD-11E8-8F11-BC5FF4F4F2AA","Гільза мідна луджена кабельна з'єднувальна e.tube.stand.gty.2.5 ""E.NEXT"" s041002","s041002","80","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Наконечники та гільзи кабельні / Кабельні гільзи / Кабельні гільзи сполучні під опресування GTY серії STAND","yes"
"E.NEXT","AgentPlus","87AA5B0A-1A2B-11E9-9C45-BC5FF4F4F2AA","Ізолента e.tape.pro.10.black із самозгасаючого ПВХ, чорна (10м) ""E.NEXT"" p0450006","p0450006","70","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Ізолента / Ізолента TAPE із самозагасаючого ПВХ серії PRO","yes"
"E.NEXT","AgentPlus","EA8DDB97-369A-11E9-A828-BC5FF4F4F2AA","Ізолента e.tape.pro.10.blue із самозгасаючого ПВХ, синя (10м) ""E.NEXT"" p0450005","p0450005","65","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Ізолента / Ізолента TAPE із самозагасаючого ПВХ серії PRO","yes"
"E.NEXT","AgentPlus","6DA07D50-614A-11E7-AEB5-BC5FF4F4F2AA","Підвісний затискач e.h.clamp.pro.16.gath, з затиском , 16 кв.мм  ""E.NEXT"" p024001","p024001","41","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для прокладання кабеля / Арматура СІП / Затискачі / Підвісні затискачі / Підвісні затискачі із затискачем H.CLAMP серії PRO","yes"
"E.NEXT","AgentPlus","3E57A971-9D71-11E3-822B-902B34A4365E","Модульний автоматичний вимикач e.mcb.stand.45.1.C32, 1р, 32А, C, 4.5 кА ""E.NEXT"" s002011 (12шт.)","s002011","34","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Модульне обладнення / Модульні автоматичні вимикачі MCB / Модульні автоматичні вимикачі серії STANDARD / Модульні автоматичні вимикачі серії STAND C, 1-3р, 1-63А, 4,5 кА / Автоматичні вимикачі серії E.STAND клас ""С"" - 1 полюс","yes"
"E.NEXT","AgentPlus","3E57A974-9D71-11E3-822B-902B34A4365E","Модульний автоматичний вимикач e.mcb.stand.45.1.C6, 1р, 6А, C, 4.5 кА ""E.NEXT"" s002006 (12шт.)","s002006","34","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Модульне обладнення / Модульні автоматичні вимикачі MCB / Модульні автоматичні вимикачі серії STANDARD / Модульні автоматичні вимикачі серії STAND C, 1-3р, 1-63А, 4,5 кА / Автоматичні вимикачі серії E.STAND клас ""С"" - 1 полюс","yes"
"E.NEXT","AgentPlus","0CB6B8DB-36B3-11E9-A828-BC5FF4F4F2AA","Ізолента e.tape.pro.20.yellow із самозгасаючого ПВХ, жовта (20м) ""E.NEXT"" p0450009","p0450009","33","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Ізолента / Ізолента TAPE із самозагасаючого ПВХ серії PRO","yes"
"E.NEXT","AgentPlus","3E57A97A-9D71-11E3-822B-902B34A4365E","Модульний автоматичний вимикач e.mcb.stand.45.2.C25, 2р, 25А, C, 4.5 кА ""E.NEXT"" s002019 (6шт.)","s002019","31","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Модульне обладнення / Модульні автоматичні вимикачі MCB / Модульні автоматичні вимикачі серії STANDARD / Модульні автоматичні вимикачі серії STAND C, 1-3р, 1-63А, 4,5 кА / Автоматичні вимикачі серії E.STAND клас ""С"" - 2 полюси","yes"
"E.NEXT","AgentPlus","0CB6B8D5-36B3-11E9-A828-BC5FF4F4F2AA","Ізолента e.tape.pro.20.green із самозгасаючого ПВХ, зелена (20м) ""E.NEXT"" p0450010","p0450010","30","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Ізолента / Ізолента TAPE із самозагасаючого ПВХ серії PRO","yes"
"E.NEXT","AgentPlus","7C7C1CE4-BFCD-11E8-8F11-BC5FF4F4F2AA","Гільза мідна луджена кабельна з'єднувальна e.tube.stand.gty.10 ""E.NEXT"" s041005","s041005","29","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Наконечники та гільзи кабельні / Кабельні гільзи / Кабельні гільзи сполучні під опресування GTY серії STAND","yes"
"E.NEXT","AgentPlus","C0EABFA7-B41B-11E9-BC39-BC5FF4F4F2AA","Термоусаджувальна трубка e.termo.stand.4.2.transparent, 4/2, 1м, прозора ""E.NEXT"" s024196","s024196","28","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Вироби для щитового обладнання / Термозбіжні вироби / Трубки термоусаджувальні TERMO серії STAND / Трубки термоусаджувані 4/2","yes"
"E.NEXT","AgentPlus","3E57A970-9D71-11E3-822B-902B34A4365E","Модульний автоматичний вимикач e.mcb.stand.45.1.C25, 1р, 25А, C, 4.5 кА ""E.NEXT"" s002010 (12шт.)","s002010","27","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Модульне обладнення / Модульні автоматичні вимикачі MCB / Модульні автоматичні вимикачі серії STANDARD / Модульні автоматичні вимикачі серії STAND C, 1-3р, 1-63А, 4,5 кА / Автоматичні вимикачі серії E.STAND клас ""С"" - 1 полюс","yes"
"E.NEXT","AgentPlus","3E57A972-9D71-11E3-822B-902B34A4365E","Модульний автоматичний вимикач e.mcb.stand.45.1.C40, 1р, 40А, C, 4.5 кА ""E.NEXT"" s002012 (12шт.)","s002012","26","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Модульне обладнення / Модульні автоматичні вимикачі MCB / Модульні автоматичні вимикачі серії STANDARD / Модульні автоматичні вимикачі серії STAND C, 1-3р, 1-63А, 4,5 кА / Автоматичні вимикачі серії E.STAND клас ""С"" - 1 полюс","yes"
"E.NEXT","AgentPlus","370502EB-9D71-11E3-822B-902B34A4365E","DIN-рейка e.din.stand.rail.101,( 1м. ) ""E.NEXT"" s023001","s023001","25","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Вироби для щитового обладнання / DIN-рейка","yes"
"E.NEXT","AgentPlus","F8B6EA79-1620-11E7-A03F-BC5FF4F4F2AA","Термоусаджувальна трубка e.termo.stand.12.6.blue  12/6,  1м, синя ""E.NEXT"" s024028","s024028","23","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Вироби для щитового обладнання / Термозбіжні вироби / Трубки термоусаджувальні TERMO серії STAND / Трубки термоусаджувані 12/6","yes"
"E.NEXT","AgentPlus","6DA07D52-614A-11E7-AEB5-BC5FF4F4F2AA","Термоусаджувальна трубка e.termo.stand.2.1.yellow-green, 2/1, 1м, жовто-зелена ""E.NEXT"" s024193","s024193","23","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Вироби для щитового обладнання / Термозбіжні вироби / Трубки термоусаджувальні TERMO серії STAND / Трубки термоусаджувані 2/1","yes"
"E.NEXT","AgentPlus","3E57A89D-9D71-11E3-822B-902B34A4365E","Термоусаджувальна трубка e.termo.stand.8.4.black  8/4,  1м, чорна ""E.NEXT"" s024020","s024020","23","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ЕЛЕКТРОТЕХНІЧНА ПРОДУКЦІЯ / E.NEXT / Вироби для монтажу / Вироби для щитового обладнання / Термозбіжні вироби / Трубки термоусаджувальні TERMO серії STAND / Трубки термоусаджувані 8/4","yes"
